sample_id,file_size_kb,entropy,num_sections,has_digital_signature,suspicious_imports,tls_callbacks_count,debug_size,shadow_copies_deleted,registry_run_modified,file_rename_rate_per_sec,file_modification_entropy_avg,suspicious_extension_changed,cpu_spike_ratio,memory_consumption_mb,network_c2_connections,label,family
MALWARE_01044,719.8,7.3386,2,1,3,1,0,1,1,37.3,7.6855,18,0.8452,36.82,2,1,Ryuk
BENIGN_01074,1270.3,6.021,4,1,1,0,0,0,0,0.4,4.6605,0,0.1781,188.81,0,0,Benign
MALWARE_00852,850.98,7.2301,9,0,4,2,0,1,1,50.01,7.7888,19,0.9114,84.15,3,1,REvil
BENIGN_01745,1503.37,5.2323,4,1,1,0,84,0,0,0.01,4.2909,0,0.2621,159.73,0,0,Benign
BENIGN_01085,1516.01,5.4029,5,0,0,0,0,0,0,0.21,4.4325,0,0.3248,176.83,0,0,Benign
BENIGN_00927,695.63,6.5837,4,1,0,0,112,0,0,0.03,4.4449,0,0.0777,166.71,0,0,Benign
MALWARE_00550,440.26,7.875,7,0,3,0,0,1,1,13.63,7.9594,16,0.7537,30.58,1,1,REvil
BENIGN_01118,887.78,5.4516,4,1,1,0,56,0,0,0.16,3.0584,0,0.2489,92.79,0,0,Benign
BENIGN_00643,1975.62,4.0643,4,1,0,0,0,0,0,0.25,3.8299,0,0.05,89.72,1,0,Benign
MALWARE_02268,1045.79,7.3148,2,0,6,0,0,1,1,59.38,7.8588,24,0.8465,23.5,1,1,WannaCry
BENIGN_00502,20.0,5.6826,3,1,0,0,56,0,0,0.18,5.0652,0,0.1387,77.85,0,0,Benign
MALWARE_01567,889.6,7.2927,9,0,3,0,28,1,1,48.16,7.3486,16,0.9256,54.45,2,1,Cerber
BENIGN_00334,2417.65,3.6834,4,1,0,0,0,0,0,0.0,4.5548,0,0.0651,117.73,0,0,Benign
MALWARE_02185,223.49,7.4433,9,0,4,0,28,1,1,24.32,7.7102,11,0.8479,24.66,1,1,WannaCry
BENIGN_00487,1621.12,5.0388,5,1,0,0,84,0,0,0.66,4.0083,0,0.1934,123.74,0,0,Benign
BENIGN_01963,2770.15,4.4926,5,1,1,0,56,0,0,0.24,4.2045,0,0.1439,39.12,0,0,Benign
BENIGN_00394,526.67,4.0829,3,0,0,0,112,0,0,0.06,4.3316,0,0.1678,123.89,1,0,Benign
MALWARE_02343,849.07,7.1754,7,0,3,0,0,1,1,43.11,7.4383,22,0.8034,15.92,2,1,REvil
MALWARE_02367,654.8,7.7487,7,0,3,0,28,1,0,40.21,7.6462,15,0.7351,19.89,3,1,Maze
BENIGN_01756,174.43,4.3563,4,1,0,0,84,0,0,0.0,5.0302,0,0.1005,97.25,0,0,Benign
MALWARE_00016,763.53,7.3115,7,0,6,0,56,1,1,61.29,7.5497,17,0.809,47.68,1,1,REvil
MALWARE_01086,802.31,7.6877,7,0,3,1,0,1,1,74.67,7.6104,23,0.9274,47.99,4,1,REvil
MALWARE_01816,380.54,7.6782,5,0,7,1,0,1,1,62.02,7.5945,11,0.806,83.24,3,1,WannaCry
MALWARE_02467,466.3,7.382,7,0,1,0,0,1,0,63.83,7.5231,22,0.9488,34.35,1,1,Cerber
BENIGN_02100,697.37,6.0983,5,1,1,1,56,0,0,0.32,4.6177,0,0.0896,15.0,1,0,Benign
MALWARE_01100,685.41,7.1721,5,0,5,2,0,1,1,49.28,7.3619,14,0.7314,24.48,2,1,Cerber
MALWARE_01622,742.43,7.2181,9,0,3,0,0,1,0,52.55,7.5217,13,0.936,57.57,1,1,REvil
BENIGN_00030,2002.68,4.2407,5,1,1,0,0,0,0,0.19,4.1947,0,0.1153,130.19,0,0,Benign
BENIGN_00066,2756.4,3.3273,5,1,0,0,0,0,0,0.06,3.4323,0,0.05,80.08,0,0,Benign
BENIGN_00839,899.5,4.5604,4,1,1,0,56,0,0,0.22,5.0146,0,0.1385,140.93,0,0,Benign
MALWARE_01407,345.26,7.29,2,0,4,1,0,1,0,49.73,7.5945,21,0.8207,57.83,2,1,Ryuk
MALWARE_01274,10.0,7.4246,7,0,3,0,0,1,1,43.9,7.5541,14,0.9421,59.86,2,1,REvil
MALWARE_02136,395.75,7.4931,5,0,4,2,56,1,1,56.84,7.5678,18,0.9137,11.09,3,1,Cerber
MALWARE_00662,762.77,7.778,9,0,2,0,0,1,0,47.76,7.845,26,0.8465,39.37,3,1,Cerber
MALWARE_00160,529.55,7.093,9,0,8,1,28,1,0,77.38,7.7255,10,0.8918,39.3,1,1,Maze
MALWARE_02116,314.43,7.3289,2,0,7,0,28,1,1,32.9,7.7422,28,1.0,59.11,2,1,Cerber
MALWARE_02129,584.26,7.3127,9,0,2,0,0,1,0,42.18,7.5479,18,0.939,73.5,1,1,LockBit
BENIGN_02452,1792.3,5.3403,3,1,1,0,84,0,0,0.44,4.1208,0,0.1549,91.17,1,0,Benign
MALWARE_00347,459.21,7.703,2,0,2,0,0,1,1,58.7,7.7159,14,0.8344,58.47,1,1,Cerber
BENIGN_01145,1064.87,5.4607,4,1,0,0,56,0,0,0.34,3.6174,0,0.0949,181.46,1,0,Benign
MALWARE_00579,414.64,7.5917,5,0,3,0,0,1,1,61.51,7.4852,21,0.9142,8.88,3,1,Cerber
BENIGN_01104,2081.5,6.2057,4,1,2,0,0,0,0,0.15,4.6647,0,0.1867,64.99,0,0,Benign
BENIGN_00169,1475.88,4.3458,5,1,2,0,84,0,0,0.31,4.3615,0,0.1225,151.08,1,0,Benign
BENIGN_01671,1370.84,4.7439,5,1,0,0,112,0,0,0.04,4.2085,0,0.2897,118.12,0,0,Benign
MALWARE_00071,681.81,7.1312,5,0,6,0,0,1,0,49.4,7.6279,19,0.8604,54.07,3,1,LockBit
BENIGN_02378,130.12,4.6325,6,0,0,0,0,0,0,0.05,3.7048,0,0.1696,90.61,0,0,Benign
MALWARE_01896,1190.44,7.7123,7,0,9,0,28,1,1,35.92,7.8703,22,0.7551,40.49,1,1,LockBit
MALWARE_01758,443.82,7.99,9,0,4,1,0,1,1,25.67,7.6319,23,0.9675,52.84,2,1,WannaCry
MALWARE_01363,388.65,7.1642,7,0,9,0,0,1,1,34.9,7.9862,17,1.0,60.51,3,1,Maze
BENIGN_00024,476.06,5.1551,4,1,0,0,0,0,0,0.1,4.6648,0,0.2734,186.16,0,0,Benign
MALWARE_00134,270.7,7.7774,7,0,4,0,0,1,1,57.29,7.5449,14,0.7215,38.8,1,1,REvil
MALWARE_00841,371.94,7.6277,7,0,2,0,56,1,1,40.84,7.99,17,0.9845,59.08,3,1,Ryuk
BENIGN_02216,1564.95,4.3387,4,1,1,0,56,0,0,0.22,5.203,0,0.2236,138.38,0,0,Benign
MALWARE_01183,388.89,7.2022,7,0,4,1,28,1,1,14.9,7.5167,17,0.5765,81.63,1,1,Cerber
MALWARE_02225,768.0,7.4802,9,0,5,2,56,1,0,31.79,7.5235,12,0.7094,20.24,1,1,LockBit
BENIGN_01908,1656.97,4.9227,4,1,0,0,0,0,0,0.1,3.4802,0,0.1109,134.43,0,0,Benign
BENIGN_00085,2218.31,4.6347,4,1,0,0,56,0,0,0.13,4.4056,0,0.1865,148.49,0,0,Benign
BENIGN_00228,1748.47,3.974,4,1,0,0,56,0,0,0.05,4.4388,0,0.2181,112.16,0,0,Benign
BENIGN_00297,1760.67,5.7667,4,1,0,0,56,0,0,0.18,4.5134,0,0.1422,233.62,0,0,Benign
BENIGN_01002,2388.95,5.1821,5,1,0,0,84,0,0,0.44,3.6496,0,0.2522,139.57,0,0,Benign
BENIGN_02139,1408.76,3.8708,4,1,1,0,112,0,0,0.06,4.8283,0,0.1289,165.91,0,0,Benign
BENIGN_00712,1467.51,6.8,6,0,0,0,56,0,0,0.32,4.6059,0,0.3583,163.41,0,0,Benign
MALWARE_00302,528.92,7.99,7,0,4,0,0,1,1,68.43,7.6539,19,0.9054,36.57,1,1,REvil
MALWARE_00028,1008.63,7.4539,5,0,7,0,28,0,1,59.08,7.6316,17,0.8096,47.47,1,1,Maze
MALWARE_01253,720.75,7.4338,2,0,4,0,0,1,1,24.77,7.9785,17,0.9113,37.6,4,1,Maze
MALWARE_00822,902.23,7.7353,7,0,4,1,0,1,1,40.17,7.7377,18,1.0,58.24,1,1,Maze
MALWARE_00682,690.64,7.8493,9,0,4,0,28,1,1,32.73,7.4204,12,0.8169,53.45,1,1,REvil
MALWARE_01684,491.03,7.3184,9,0,4,0,0,1,0,51.27,7.9839,24,0.7589,50.18,1,1,Cerber
BENIGN_01616,526.43,3.2665,5,1,1,0,84,0,0,0.07,3.3117,0,0.05,74.84,0,0,Benign
MALWARE_00525,1238.65,7.8589,9,0,6,0,28,1,1,40.51,7.5419,21,0.7837,43.42,2,1,Cerber
BENIGN_01414,434.2,5.7696,5,1,1,1,112,0,0,0.33,3.7645,0,0.1641,44.67,0,0,Benign
BENIGN_00764,969.47,4.6676,4,1,1,0,84,0,0,0.02,4.6767,0,0.0574,143.6,0,0,Benign
BENIGN_00656,1986.36,4.6605,5,1,0,0,84,0,0,0.1,3.7937,0,0.1888,77.54,0,0,Benign
MALWARE_02298,525.95,7.9096,7,0,2,0,0,1,1,30.12,7.4394,29,0.8826,55.66,2,1,Cerber
MALWARE_01350,624.79,7.4585,9,1,3,0,28,1,0,60.25,7.6681,20,0.9948,45.43,4,1,REvil
MALWARE_01654,531.58,7.595,2,0,4,1,0,1,1,60.26,7.6743,21,0.8395,27.25,3,1,Maze
BENIGN_00469,992.63,3.9631,4,0,1,0,0,0,0,0.12,4.0976,0,0.05,47.17,0,0,Benign
BENIGN_00158,3684.69,4.6719,3,1,0,0,56,0,0,0.14,4.6028,0,0.1181,87.36,0,0,Benign
BENIGN_01296,1108.96,4.1543,5,1,1,0,0,0,0,0.17,4.3665,0,0.2179,58.2,0,0,Benign
BENIGN_00498,958.93,4.8235,4,1,0,1,0,0,0,0.12,4.51,0,0.05,261.67,0,0,Benign
MALWARE_02241,827.37,7.5764,9,0,5,2,28,1,1,47.55,7.5672,23,0.6906,49.26,1,1,REvil
MALWARE_00441,853.26,7.2761,5,0,3,2,0,1,1,58.07,7.6062,23,0.8274,31.72,2,1,Maze
MALWARE_00957,922.18,7.1419,5,0,4,0,0,1,0,52.92,7.643,21,0.8044,8.0,1,1,Ryuk
BENIGN_00374,638.66,5.5497,4,1,1,1,0,0,0,0.19,3.8465,0,0.1838,197.84,0,0,Benign
BENIGN_00080,2185.96,5.9057,4,0,1,0,0,0,0,0.27,4.5892,0,0.1795,100.33,0,0,Benign
BENIGN_01554,865.23,3.8806,3,1,0,0,112,0,0,0.05,4.8188,0,0.1078,175.66,1,0,Benign
BENIGN_01670,1302.54,6.4508,5,1,1,0,56,0,0,0.1,3.5852,0,0.1296,139.53,0,0,Benign
BENIGN_02132,1378.23,4.5297,3,1,1,0,112,0,0,0.36,4.9959,0,0.0755,125.67,0,0,Benign
MALWARE_01940,791.76,7.8471,7,0,5,0,0,1,1,61.01,7.99,17,0.8681,64.81,2,1,Maze
BENIGN_00466,1004.18,5.3493,3,1,2,0,56,0,0,0.69,4.1093,0,0.05,15.0,0,0,Benign
BENIGN_00249,1079.0,5.9107,5,1,0,0,56,0,0,0.19,4.2128,0,0.2209,87.46,0,0,Benign
BENIGN_00932,1490.48,5.1431,3,0,0,0,0,0,0,0.25,3.5514,0,0.1497,205.27,0,0,Benign
BENIGN_01336,2377.94,6.078,4,1,1,0,56,0,0,0.08,3.8013,0,0.1691,122.98,0,0,Benign
MALWARE_02025,503.58,7.2241,9,0,5,0,0,1,0,50.57,7.8568,16,0.7883,51.18,1,1,LockBit
BENIGN_01339,2386.83,5.6058,4,1,0,0,56,0,0,0.24,4.3806,0,0.1959,123.9,1,0,Benign
BENIGN_01407,2013.45,4.8026,5,1,0,0,56,0,0,0.01,3.7031,0,0.0947,133.58,0,0,Benign
BENIGN_01091,1392.15,4.7472,5,1,0,0,0,0,0,0.17,4.132,0,0.1605,104.47,0,0,Benign
MALWARE_01710,30.24,7.7483,2,0,6,0,28,1,0,55.44,7.6779,24,0.742,57.95,2,1,Cerber
BENIGN_00743,3470.85,4.7129,4,1,0,0,0,0,0,0.05,4.0298,0,0.2452,171.1,0,0,Benign
BENIGN_02324,1208.46,4.4641,4,1,0,0,84,0,0,0.0,3.7076,0,0.05,90.65,0,0,Benign
MALWARE_01102,796.21,7.8363,5,1,5,0,0,1,1,31.96,7.99,20,0.7579,58.13,2,1,LockBit
BENIGN_02124,1152.3,5.5237,5,0,0,0,0,0,0,0.24,3.9184,0,0.0851,153.41,0,0,Benign
BENIGN_02095,987.24,3.5694,4,1,1,0,56,0,0,0.05,4.6785,0,0.334,95.35,0,0,Benign
BENIGN_00241,1196.48,5.0657,4,0,0,0,56,0,0,0.17,3.9842,0,0.1741,129.19,0,0,Benign
BENIGN_02352,2863.09,3.9357,3,1,0,0,84,0,0,0.02,3.0231,0,0.0958,57.29,0,0,Benign
BENIGN_01371,492.56,5.1208,4,1,0,0,84,0,0,0.28,5.0629,0,0.1255,136.51,0,0,Benign
BENIGN_01058,1009.45,4.0917,5,1,0,0,84,0,0,0.42,3.7364,0,0.1121,98.34,0,0,Benign
MALWARE_02317,370.06,7.4685,7,0,4,1,0,0,1,54.87,7.5951,18,0.7085,79.47,1,1,Maze
BENIGN_00200,1682.86,4.1356,5,1,1,0,56,0,0,0.25,4.5135,0,0.1193,132.51,0,0,Benign
BENIGN_02281,3178.85,4.0274,5,1,0,0,56,0,0,0.05,4.1902,0,0.1756,45.14,0,0,Benign
MALWARE_02250,318.54,7.298,5,0,4,1,0,1,1,52.7,7.8482,19,0.8674,51.07,1,1,Maze
BENIGN_02221,1368.42,4.8288,4,1,1,0,84,0,0,0.09,4.8084,0,0.112,108.35,0,0,Benign
MALWARE_02272,888.87,7.6978,7,0,6,0,0,1,1,23.47,7.7316,29,0.8607,28.95,2,1,Ryuk
MALWARE_00320,387.67,7.4804,5,0,3,0,0,1,1,43.27,7.8281,13,0.7959,32.96,1,1,WannaCry
MALWARE_00651,731.39,7.7751,2,0,4,1,0,1,0,39.31,7.8003,25,0.8927,43.77,2,1,Maze
MALWARE_01757,803.05,7.4269,5,0,1,1,0,1,1,30.73,7.9533,16,0.8492,36.69,4,1,Cerber
MALWARE_00608,1196.35,7.3666,2,0,5,1,0,1,0,38.2,7.593,17,0.7097,59.87,1,1,REvil
BENIGN_01974,949.98,5.6179,5,1,0,0,0,0,0,0.33,3.5086,0,0.0562,112.74,0,0,Benign
BENIGN_01376,2094.51,5.1716,5,1,0,0,84,0,0,0.15,3.9841,0,0.1291,150.88,0,0,Benign
MALWARE_01469,1038.45,7.6664,7,0,1,0,0,1,0,53.84,7.7296,20,0.9098,32.02,2,1,LockBit
MALWARE_01563,345.72,7.2857,5,0,3,2,0,0,1,29.72,7.9122,18,0.869,27.5,2,1,WannaCry
MALWARE_01946,404.89,7.9707,5,0,7,1,0,1,1,37.81,7.5659,16,0.7665,30.22,1,1,Cerber
MALWARE_01058,298.73,7.6662,9,0,5,1,28,1,1,36.38,7.3991,17,0.8352,20.05,3,1,LockBit
BENIGN_00965,1205.8,5.4129,5,1,0,0,56,0,0,0.09,3.0523,0,0.2922,144.19,0,0,Benign
BENIGN_00180,1554.7,4.8709,4,1,1,0,56,0,0,0.14,4.3184,0,0.05,15.0,0,0,Benign
MALWARE_01199,564.01,7.8357,7,0,2,0,56,0,1,58.47,7.7287,19,0.8697,30.24,2,1,WannaCry
MALWARE_01322,582.51,7.9272,7,0,6,0,0,1,0,56.17,7.767,17,0.9242,38.93,2,1,REvil
MALWARE_02379,530.74,7.7818,5,0,5,0,0,1,0,26.49,7.7615,15,0.9537,20.48,1,1,LockBit
MALWARE_01400,740.15,7.8644,9,0,4,0,0,1,1,40.88,7.6789,18,0.8984,35.71,2,1,LockBit
MALWARE_01988,1081.39,7.7243,5,0,2,0,0,1,0,62.48,7.6383,23,0.7389,75.41,3,1,Ryuk
MALWARE_00739,851.84,7.3673,2,0,9,0,0,1,1,64.83,7.5208,13,0.8024,72.15,1,1,Ryuk
MALWARE_00475,879.48,7.4838,9,0,7,0,0,1,1,41.33,7.7379,12,0.8033,51.58,2,1,LockBit
MALWARE_01081,10.0,7.99,5,0,4,0,0,1,1,9.44,7.6377,14,0.7734,11.63,1,1,REvil
MALWARE_00388,64.87,7.9777,5,0,3,1,56,1,1,57.93,7.9101,18,0.9493,26.53,2,1,WannaCry
MALWARE_00076,1398.56,7.6895,7,1,3,0,0,0,1,50.3,7.5006,19,0.723,8.0,2,1,REvil
BENIGN_01420,2414.21,3.9965,3,1,1,0,56,0,0,0.06,3.9547,0,0.0943,72.95,1,0,Benign
MALWARE_01408,661.45,7.0166,9,0,6,1,28,1,1,43.39,7.7907,17,0.8533,19.79,2,1,LockBit
MALWARE_02174,614.63,7.7514,5,0,3,1,28,1,1,22.06,7.6988,14,1.0,23.96,1,1,Maze
MALWARE_02403,603.95,7.2353,9,1,8,0,0,0,0,56.89,7.59,19,0.9576,51.89,1,1,Ryuk
BENIGN_01861,1310.76,4.9246,4,1,0,0,0,0,0,0.38,4.5871,0,0.2478,139.76,0,0,Benign
BENIGN_00009,2597.49,4.9404,5,1,0,0,56,0,0,0.39,4.2031,0,0.1312,49.23,0,0,Benign
MALWARE_00395,368.0,7.63,2,0,2,2,0,1,1,50.73,7.412,25,0.871,47.8,1,1,Cerber
MALWARE_00348,810.58,7.4208,7,0,4,0,28,1,1,27.66,7.673,18,0.7065,24.93,2,1,Cerber
MALWARE_01165,599.87,7.2182,7,0,9,1,0,1,1,41.17,7.8458,20,0.8289,61.48,1,1,LockBit
BENIGN_00145,3150.02,3.946,3,0,1,1,56,0,1,0.22,3.5626,0,0.1843,110.64,0,0,Benign
BENIGN_02105,1661.15,4.931,6,1,1,0,112,0,0,0.01,4.4506,0,0.27,51.35,1,0,Benign
MALWARE_00644,564.58,7.1747,9,0,11,0,28,1,1,79.33,7.6943,16,0.9031,8.0,3,1,Maze
BENIGN_00842,814.05,4.9847,6,1,0,0,56,0,0,0.05,5.2893,0,0.1258,199.37,1,0,Benign
BENIGN_01129,1751.81,3.9589,4,1,0,0,84,0,0,0.09,4.4933,0,0.235,159.4,0,0,Benign
BENIGN_00152,1190.82,5.0938,3,1,0,0,56,0,0,0.07,5.3029,0,0.234,76.8,0,0,Benign
MALWARE_01092,742.75,7.6303,9,0,8,0,28,0,1,39.43,7.7739,19,0.977,68.83,1,1,WannaCry
BENIGN_01053,1321.08,4.3174,5,1,0,0,56,0,0,0.33,3.9775,0,0.1442,122.6,0,0,Benign
BENIGN_01591,1493.95,5.5548,5,1,0,0,0,0,0,0.01,4.3189,0,0.1551,126.75,0,0,Benign
MALWARE_00509,1110.75,7.3789,2,0,1,1,0,0,1,59.77,7.8361,16,1.0,51.14,1,1,Ryuk
BENIGN_02030,888.03,5.947,4,0,0,0,84,0,0,0.3,4.1281,0,0.085,72.35,0,0,Benign
MALWARE_00919,1405.33,7.7845,9,0,3,0,0,1,1,47.73,7.7408,19,0.8307,80.98,1,1,REvil
BENIGN_01808,1950.17,4.6423,4,0,1,0,0,0,0,0.2,3.7015,0,0.1865,128.45,1,0,Benign
MALWARE_00197,687.6,7.4771,2,0,5,1,28,1,0,33.7,7.834,23,0.7502,29.14,2,1,WannaCry
MALWARE_00540,689.8,7.5776,9,0,5,0,0,1,1,44.83,7.3466,22,1.0,23.18,2,1,REvil
BENIGN_00473,1568.77,4.3303,5,1,0,0,0,0,0,0.13,4.09,0,0.1484,95.88,0,0,Benign
MALWARE_00790,754.28,7.8337,9,0,5,0,28,1,1,21.29,7.7138,23,0.9628,42.67,2,1,LockBit
MALWARE_01575,365.85,7.1572,5,0,10,1,0,1,1,18.0,7.793,16,0.9182,29.96,3,1,WannaCry
MALWARE_00997,434.04,7.6939,5,0,4,0,0,1,1,47.94,7.99,17,0.7312,66.99,1,1,Ryuk
BENIGN_00280,1468.78,4.5466,3,1,0,0,56,0,0,0.04,4.1865,0,0.2306,57.25,1,0,Benign
BENIGN_01742,3294.82,4.7512,4,1,0,0,56,0,0,1.04,4.906,0,0.0775,122.0,0,0,Benign
MALWARE_02125,504.15,7.5273,7,0,3,1,0,1,0,49.43,7.4909,20,1.0,62.68,3,1,REvil
MALWARE_00387,916.99,6.9164,9,0,3,0,0,1,1,41.23,7.4745,24,0.9485,52.99,1,1,Ryuk
BENIGN_01942,1828.89,4.072,3,1,2,0,56,0,0,0.16,4.437,0,0.1003,162.46,0,0,Benign
BENIGN_00101,152.17,4.053,5,1,1,0,84,0,0,0.16,3.4332,0,0.05,75.74,0,0,Benign
MALWARE_00305,444.17,7.305,7,0,5,0,0,1,1,62.87,7.8633,16,0.848,79.6,1,1,WannaCry
MALWARE_01071,1015.52,7.3524,7,0,2,0,0,1,1,40.02,7.9884,22,0.8734,28.47,1,1,REvil
MALWARE_01185,55.96,7.4765,7,0,6,0,56,1,1,48.32,7.4105,19,0.7555,36.63,1,1,Ryuk
MALWARE_01162,569.38,7.4843,7,0,4,0,0,0,1,56.12,7.7241,21,1.0,16.8,1,1,WannaCry
BENIGN_00531,1486.75,5.3467,4,0,0,0,56,0,0,0.11,4.9743,0,0.2192,95.55,0,0,Benign
BENIGN_01887,3569.83,4.7284,5,1,0,0,84,0,0,0.21,4.5102,0,0.2187,128.07,0,0,Benign
BENIGN_00682,2049.37,5.068,6,1,0,0,0,0,0,0.02,4.5389,0,0.0901,92.2,0,0,Benign
MALWARE_01295,1251.98,7.99,7,1,5,0,0,1,1,72.67,7.3592,12,1.0,34.54,1,1,WannaCry
MALWARE_01445,760.48,7.5733,7,0,6,0,0,1,1,75.53,7.7528,19,0.9126,59.7,1,1,WannaCry
MALWARE_02167,1286.63,6.9754,2,0,6,0,0,1,1,37.07,7.5836,17,0.9155,37.87,1,1,Ryuk
BENIGN_02019,1858.44,6.7801,4,1,0,0,84,0,0,0.31,4.2937,0,0.1513,56.63,0,0,Benign
BENIGN_01097,334.16,6.4323,4,1,0,0,56,0,0,0.19,3.4132,0,0.05,115.51,1,0,Benign
BENIGN_00830,2136.57,4.4397,4,1,0,0,0,0,0,0.01,4.4441,0,0.05,170.11,0,0,Benign
MALWARE_00306,349.88,7.7648,2,0,3,2,28,1,1,64.08,7.5507,23,0.9376,52.82,1,1,Maze
MALWARE_01330,194.47,7.2563,2,0,3,0,56,1,1,47.68,7.5512,17,0.6742,33.26,2,1,Ryuk
MALWARE_01882,1528.36,7.9297,9,1,2,1,0,1,1,66.36,7.6031,23,0.8147,69.1,3,1,Maze
MALWARE_01392,647.57,7.8879,9,0,5,1,0,1,1,48.88,7.7986,23,0.8974,37.92,1,1,Ryuk
BENIGN_00765,2346.37,4.8655,4,1,0,0,0,0,0,0.04,4.1132,0,0.2734,55.33,0,0,Benign
MALWARE_00268,483.07,7.1277,2,0,1,1,0,1,1,30.54,7.9502,11,0.9038,33.14,2,1,REvil
MALWARE_01829,641.63,7.4038,7,0,2,0,0,1,1,55.57,7.99,14,0.7993,57.53,2,1,Cerber
MALWARE_00796,470.49,7.7977,5,0,4,1,0,1,1,46.81,7.9035,14,0.9153,26.89,1,1,Cerber
BENIGN_02195,1399.45,5.8541,4,0,1,0,56,0,0,0.02,4.4539,0,0.1006,124.61,0,0,Benign
BENIGN_02358,1162.14,4.2168,3,1,0,0,56,0,0,0.27,4.3765,0,0.05,52.14,0,0,Benign
MALWARE_00926,592.95,7.5353,9,0,4,2,0,1,1,32.82,7.5309,19,0.6941,55.99,1,1,Ryuk
MALWARE_01480,278.73,7.4652,7,0,5,1,0,0,1,64.55,7.99,21,0.767,70.66,1,1,Maze
BENIGN_00912,2642.59,4.1263,5,0,0,0,0,0,0,0.01,3.4396,0,0.0855,116.13,1,0,Benign
MALWARE_00646,700.64,7.5625,5,0,2,1,0,1,1,35.59,7.5548,13,0.8683,63.13,1,1,WannaCry
BENIGN_01000,570.6,4.8193,5,0,0,0,56,0,0,0.01,4.0275,0,0.1028,113.98,0,0,Benign
MALWARE_01154,311.21,7.7491,5,0,6,0,0,1,1,53.94,7.7501,24,0.8664,49.02,2,1,Ryuk
BENIGN_02484,480.35,3.5437,6,1,0,0,84,0,0,0.78,3.9478,0,0.05,103.37,0,0,Benign
MALWARE_01577,856.64,7.671,7,0,4,2,0,1,1,40.09,7.4746,15,0.9809,47.67,1,1,REvil
BENIGN_02371,2358.04,5.8321,4,1,0,0,56,0,0,0.07,5.2265,0,0.1344,116.71,0,0,Benign
MALWARE_02339,515.87,7.5773,9,0,5,0,0,1,0,33.3,7.9256,18,0.8352,30.24,2,1,WannaCry
BENIGN_00034,1824.98,6.5225,5,0,0,0,112,0,0,0.12,3.7396,0,0.05,159.2,0,0,Benign
MALWARE_01290,821.44,6.9913,9,0,5,0,0,1,1,42.79,7.3768,21,0.8119,26.85,1,1,WannaCry
BENIGN_01021,928.26,4.1373,5,1,0,0,0,0,1,0.13,5.3251,0,0.1584,149.91,0,0,Benign
BENIGN_01648,1568.16,5.922,3,0,0,0,56,0,0,0.19,4.9498,0,0.1427,164.02,1,0,Benign
BENIGN_00734,1883.7,5.7192,4,1,0,0,56,0,0,0.09,3.8259,0,0.1241,130.59,0,0,Benign
MALWARE_02083,754.13,7.2716,9,0,5,0,0,1,1,52.43,7.5721,21,0.8461,32.1,3,1,REvil
MALWARE_00775,581.03,7.99,2,0,4,0,0,1,1,37.35,7.99,17,0.7695,46.97,1,1,WannaCry
BENIGN_01621,965.48,5.575,4,1,0,0,56,0,0,0.31,5.2197,0,0.1153,25.49,0,0,Benign
MALWARE_00636,569.25,7.8529,7,0,5,0,28,1,1,16.53,7.5901,20,0.8144,40.78,1,1,LockBit
